ID,TIPID,LineItemName,FY20GasTax,FY20RICAPHIP,FY20RIHMA,FY20RICAPprojects,FY20RICAPfacilities,FY20ProjectCloseouts,FY20IWAYLandSales,FY20GARVEE,FY20TollRevenue,FY20RailwayProgram,FY20HSIP,FY20TAP,FY20NHPP,FY20CMAQ,FY20Planning,FY20STP,FY20NationalFreight,FY20NHTSA,FY20FTA,FY20Earmarks,FY20TollCredits,FY20TransitBond,FY20allocation
335,5040,,,,0.0255,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0255
336,5041,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
337,5044,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
338,5045,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
339,5046,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
340,5048,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
341,5049,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
342,5050,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
343,5052,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
344,5056,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
345,5057,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
346,5058,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
347,5060,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
348,5061,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
349,5067,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
350,5069,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0
351,5070,,,0.8,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.8
352,5071,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
353,5072,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
354,5078,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
355,5083,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
356,5085,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
357,5088,,,,0.12,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.12
358,5089,,,,0.48,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.48
359,5090,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
360,5091,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
361,5092,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
362,5095,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
363,5096,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
364,5097,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
365,5098,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
366,5099,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
367,5100,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
368,5101,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
369,5102,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
370,5103,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
371,5104,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
372,5105,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
373,5106,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
374,5107,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
375,5108,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
376,5109,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
377,5112,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
378,5114,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
379,5115,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
380,5120,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
381,5121,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
382,5122,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
383,5125,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
384,5126,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
385,5128,,,,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.5
386,5129,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
387,5130,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
388,5133,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0
389,5134,,,,,,,,,,,0.45,,,,,,,,,,0.0,0.0,0.0,0.45
390,5135,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0
391,5136,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0
392,5137,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0
393,5138,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0
