Allocation,ID,TIPID,LineItemName,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond
0.0,363,5095,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1.22,364,5096,,,,1.22,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,365,5097,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,366,5098,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,367,5099,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,368,5100,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,369,5101,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,370,5102,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,371,5103,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,372,5104,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,373,5105,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,374,5106,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,375,5107,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,376,5108,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,377,5109,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,378,5112,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,379,5114,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,380,5115,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,381,5120,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,382,5121,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,383,5122,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,384,5125,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,385,5126,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.3,386,5128,,,,0.3,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,387,5129,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,388,5130,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
